업체명,채널,지역,희망공급제품,예상월물량kg,담당자,직책,전화,이메일,웹사이트,상태,우선순위,최근접촉일,다음액션,메모
주식회사 셀피(수산팜),식자재 유통·수산물 도매,부산 서구(수산가공선진화단지),냉동필렛,,,,051-711-1176,susanfam@naver.com,https://susanfam.kr,후보,상,,,장어취급: 취급 중(덮밥용 민물장어 양념구이 업소 도매용 박스 등 장어 카테고리 운영) / 후보이유: 식당 대상 2차 유통 전문몰로 이미 민물장어 양념구이를 업소용 박스 단위 판매 — 냉동 필렛·가바야키 공급선 추가/교체 제안 적합
주식회사 세인(세인수산),식자재 유통·수산물 도매,세종특별자치시 장군면,냉동필렛,,,,044-864-1216,seinseafood@naver.com,https://seinsusan.kr,후보,상,,,"장어취급: 취급 중(민물장어 양념구이, 바다장어 양념구이, 초밥용 양념장어, 업소용 10kg 박스 도매전용, 명장어 양념 민물장어구이 1kg 개별포장) / 후보이유: 대전·세종권 식당에 장어 가공품을 이미 납품하는 전형적 2차 유통사 — 중국산 냉동 필렛·가바야키 박스 단위 공급 최적 타깃 / 비고: 팩스 044-863-1215. 대표 문미경. 원료 원산지·기존 수입 경로 확인 필요(직수입 시 경쟁 가능성)"
다인에프씨,식자재 유통·수산물 도매,경기 광주시,냉동필렛,,,,,,https://dainfc.com,후보,상,,,"장어취급: 취급 중(활 민물장어 필렛 3미 '전문점용/중국산' 박스 판매 등) / 후보이유: 중국산 민물장어 필렛을 전문점용 규격으로 이미 유통 중인 식자재몰 — 동일 규격 냉동 필렛 공급처로 즉시 제안 가능 / 비고: 직수입 전문 표방 — 품목별 직수입 병행 시 경쟁 가능성, 카카오톡 채널로 거래 문의 접수"
마켓보로(식봄),식자재 유통·수산물 도매,경기 성남시 분당구(판교),냉동필렛,,,,031-698-3407,,https://www.foodspring.co.kr,후보,상,,,"장어취급: 플랫폼 내 장어 상품 약 180건 유통(냉동·초벌 장어 등, 판매자 입점형) / 후보이유: 푸드엔과 유사한 식자재 B2B몰 — 셀러 입점을 통해 전국 식당·중소 유통사 대상 냉동 필렛 직판 판로 확보 가능 / 비고: 직접 매입형이 아닌 오픈마켓형 — 입점 영업 대상"
푸드팡 주식회사,식자재 유통·수산물 도매,,냉동필렛,,,,1577-2150,,https://foodpang.co,후보,중,,,"장어취급: 수산 카테고리 운영(민물장어 취급 여부 미확인) / 후보이유: 가락시장 등 도매시장 시세 기반으로 식당에 수산 식자재를 공급하는 유통 플랫폼 — 냉동 장어 필렛 소싱 제안 여지 / 비고: 구 리테일영(2016년 설립, 2020년 푸드팡으로 사명 변경, 110억원 투자 유치)"
(주)바이킹마켓,식자재 유통·수산물 도매,인천 중구,냉동필렛,,,,070-4800-0443,,https://www.vkm101.com,후보,중,,,장어취급: 우럭·농어 등 필렛류 중심 취급(민물장어 필렛 취급 여부 미확인) / 후보이유: 필렛류 중심 B2B 수산몰과 노량진 중도매 유통망 보유 — 냉동 민물장어 필렛 라인업 추가 제안 가능 / 비고: 직수입 병행사 — 경쟁 가능성 유의
(주)오대양씨푸드,식자재 유통·수산물 도매,인천 중구(연안부두),냉동필렛,,,,,admin@odymall.co.kr,https://odyb2b.co.kr,후보,중,,,"장어취급: 손질 붕장어(바다장어) 구이 취급, 민물장어 미확인 / 후보이유: 냉동수산물 B2B 유통 전문사 — 바다장어 구이 판매 경험 위에 민물장어 필렛·가바야키 카테고리 확장 제안 여지 / 비고: 대표 연락처가 휴대전화로만 공개되어 미기재(팩스 032-888-7883)"
사조푸디스트(주),식자재 유통·수산물 도매,서울 서대문구,냉동필렛,,,,02-3277-1600,,https://www.sajofoodist.co.kr,후보,중,,,장어취급: 수산 식자재 취급(장어 품목 상세 미확인) / 후보이유: 전국 식자재왕 도매마트 매장망과 외식·호텔·리조트 거래처를 보유한 대형 식자재 유통사 — 수입 냉동장어 대량 매입처이자 호텔 뷔페향 간접 판로 / 비고: 사조그룹 계열(사조씨푸드 등 수산 계열사 보유)로 자체 조달 가능성 있음
안산수산(주),공영도매시장 중도매인,경기 안산시 상록구(안산농수산물도매시장 수산동),냉동필렛,,,,031-418-8924,,,후보,상,,,장어취급: 활어·선어 등 수산부류 상장 경매 운영(시장 내 수산물 중도매인 46명) / 후보이유: 민물장어 경매가 서는 안산시장의 수산부류 경매 법인 — 민물장어 취급 중도매인 연결의 공식 창구 / 비고: 안산시 도매시장 관리부서(관리사무소) 031-481-2771
안양평촌수산(주),공영도매시장 중도매인,경기 안양시 동안구 흥안대로 313(안양농수산물도매시장 수산동 2층 205호),냉동필렛,,,,031-422-2432,,,후보,상,,,장어취급: 수산부류 상장 경매 운영(활어 포함) / 후보이유: 민물장어 경매가 서는 안양시장의 수산부류 경매 법인 — 중도매인 소개·출하 협의 공식 창구 / 비고: 안양시 농수산물도매시장관리사업소 031-8045-2631
(주)한밭수산,공영도매시장 중도매인,대전 대덕구 오정동 705(오정농수산물도매시장),냉동필렛,,,,042-634-5221,,,후보,상,,,장어취급: 활·선어류 등 수산부류 상장 경매 운영 / 후보이유: 민물장어 경매가 서는 오정시장의 수산부류 경매 법인 — 충청권 민물장어 취급 중도매인 연결 창구 / 비고: 오정시장 수산부류 영업 월~토 04:00~18:00. 오정시장 관리사업소 042-622-3387
